id,fdc_id_of_sample_food,fdc_id_of_acquisition_food
1,319874,319876
2,319874,319875
3,319879,319881
4,319879,319880
5,319885,319890
6,319885,319887
7,319885,319888
8,319885,319891
9,319885,319889
10,319885,319886
11,319894,319896
12,319894,319897
13,319894,319895
14,319894,319898
15,319901,319903
16,319901,319905
17,319901,319904
18,319901,319902
19,319921,319923
20,319921,319924
21,319921,319922
22,319921,319925
23,319939,319943
24,319939,319941
25,319939,319942
26,319939,319940
27,319958,319963
28,319958,319960
29,319958,319959
30,319958,319961
31,319958,319962
32,319958,319964
33,319978,319980
34,319978,319979
35,319984,319989
36,319984,319985
37,319984,319986
38,319984,319987
39,319984,319990
40,319984,319988
41,320005,320007
42,320005,320006
43,320005,320008
44,320005,320010
45,320005,320009
46,320025,320026
47,320031,320032
48,320037,320038
49,320043,320044
50,320062,320063
51,320085,320086
52,320104,320105
53,320124,320125
54,320143,320144
55,320165,320166
56,320172,320173
57,320179,320180
58,320185,320186
59,320191,320192
60,320197,320198
61,320203,320204
62,320210,320211
63,320230,320231
64,320253,320254
65,320275,320276
66,320298,320299
67,320307,320308
68,320313,320314
69,320332,320333
70,320353,320355
71,320353,320354
72,320357,320368
73,320357,320365
74,320357,320369
75,320357,320355
76,320357,320362
77,320357,320376
78,320357,320354
79,320357,320375
80,320357,320363
81,320357,320359
82,320357,320378
83,320357,320364
84,320357,320360
85,320357,320379
86,320357,320367
87,320357,320358
88,320357,320371
89,320357,320374
90,320357,320361
91,320357,320370
92,320357,320373
93,320357,320372
94,320357,320377
95,320357,320366
96,320382,320369
97,320382,320358
98,320384,320361
99,320384,320354
100,320384,320368
101,320384,320370
102,320384,320359
103,320384,320358
104,320384,320371
105,320384,320360
106,320384,320379
107,320384,320369
108,320384,320355
109,320384,320372
110,320388,320370
111,320388,320359
112,320390,320371
113,320390,320360
114,320392,320361
115,320392,320372
116,320394,320373
117,320394,320362
118,320396,320364
119,320396,320377
120,320396,320374
121,320396,320378
122,320396,320375
123,320396,320362
124,320396,320367
125,320396,320373
126,320396,320363
127,320396,320366
128,320396,320376
129,320396,320365
130,320400,320363
131,320400,320374
132,320402,320364
133,320402,320375
134,320404,320376
135,320404,320365
136,320406,320366
137,320406,320377
138,320408,320378
139,320408,320367
140,320410,320368
141,320410,320379
142,320413,320415
143,320413,320414
144,320418,320420
145,320418,320419
146,320423,320425
147,320423,320424
148,320428,320429
149,320428,320430
150,320433,320435
151,320433,320434
152,320438,320440
153,320438,320439
154,320443,320445
155,320443,320444
156,320443,320447
157,320443,320446
158,320451,320453
159,320451,320454
160,320451,320452
161,320451,320455
162,320460,320461
163,320460,320462
164,320460,320463
165,320460,320464
166,320476,320477
167,320480,320477
168,320480,320482
169,320480,320481
170,320485,320486
171,320489,320491
172,320489,320490
173,320494,320495
174,320494,320496
175,320499,320500
176,320499,320495
177,320499,320501
178,320499,320496
179,320504,320501
180,320504,320500
181,320507,320508
182,320507,320509
183,320512,320513
184,320512,320516
185,320512,320514
186,320512,320515
187,321361,321362
188,321367,321368
189,321373,321374
190,321379,321380
191,321384,321385
192,321389,321390
193,321394,321395
194,321400,321401
195,321406,321407
196,321412,321413
197,321417,321418
198,321423,321424
199,321429,321430
200,321435,321436
201,321441,321442
202,321446,321447
203,321452,321453
204,321458,321459
205,321464,321465
206,321475,321476
207,321481,321482
208,321487,321488
209,321493,321494
210,321499,321500
211,321506,321509
212,321506,321507
213,321506,321508
214,321512,321518
215,321512,321516
