id,lab_method_id,nutrient_id
1,1001,1002
2,1001,1003
3,1003,1004
4,1004,1007
5,1005,1011
6,1005,1014
7,1005,1010
8,1005,1075
9,1005,1013
10,1005,1012
11,1007,1051
12,1008,1079
13,1008,1175
14,1009,1089
15,1009,1087
16,1009,1101
17,1009,1098
18,1009,1093
19,1009,1092
20,1009,1091
21,1009,1090
22,1009,1095
23,1010,1103
24,1010,1102
25,1011,1165
26,1012,1165
27,1013,1166
28,1014,1167
29,1014,1175
30,1015,1170
31,1016,1175
32,1016,1079
33,1016,1093
34,1016,1103
35,1016,1095
36,1017,1177
37,1017,1091
38,1017,1092
39,1017,1167
40,1018,1002
41,1019,1004
42,1021,1004
43,1022,1007
44,1023,1009
45,1024,1010
46,1024,1014
47,1024,1013
48,1024,1012
49,1024,1011
50,1026,1024
51,1027,1051
52,1028,1051
53,1030,1075
54,1033,1162
55,1034,1165
56,1035,1166
57,1036,1167
58,1037,1170
59,1038,1175
60,1039,1178
61,1040,1225
62,1040,1215
63,1040,1213
64,1040,1228
65,1040,1210
66,1040,1219
67,1040,1211
68,1040,1217
69,1040,1222
70,1040,1212
71,1040,1218
72,1040,1232
73,1040,1214
74,1040,1223
75,1040,1220
76,1040,1227
77,1040,1224
78,1040,1226
79,1040,1221
80,1040,1216
81,1041,1253
82,1042,1269
83,1042,1264
84,1042,1263
85,1042,1258
86,1042,1292
87,1042,1266
88,1042,1265
89,1042,1293
90,1042,1257
91,1042,1004
92,1042,1316
93,1042,1301
94,1042,1273
95,1042,2012
96,1042,1267
97,1042,1315
98,1042,2014
99,1042,1404
100,1042,1314
101,1042,1262
102,1042,1259
103,1042,1260
104,1042,1261
105,1042,2013
106,1042,2019
107,1042,1405
108,1042,1406
109,1042,1411
110,1042,1414
111,1042,1304
112,1042,1303
113,1042,1305
114,1042,1306
115,1042,1311
116,1042,1312
117,1042,1313
118,1042,2005
119,1042,2004
120,1042,2008
121,1042,1299
122,1042,1300
123,1042,1333
124,1042,1323
125,1042,1334
126,1042,1335
127,1042,1281
128,1042,2009
129,1042,2015
130,1042,2006
131,1042,2007
132,1042,2021
133,1042,1321
134,1042,1271
135,1042,1272
136,1042,1276
137,1042,1278
138,1042,1280
139,1042,2003
140,1042,1277
141,1042,1317
142,1042,1409
143,1043,1195
144,1043,1199
145,1043,1198
146,1043,1196
147,1043,1197
148,1043,1194
149,1043,1180
150,1045,1112
151,1045,1111
152,1045,1113
153,1045,1110
154,1046,1041
155,1046,1043
156,1046,1032
157,1046,1044
158,1046,1039
159,1047,1009
160,1048,1185
161,1048,1183
162,1049,1184
163,1050,1105
164,1051,2028
165,1051,1121
166,1051,1107
167,1051,1108
168,1051,2029
169,1051,1122
170,1051,1123
171,1051,1120
172,1051,1159
173,1051,1161
174,1051,1160
175,1051,1119
176,1051,2032
177,1052,1129
178,1052,1125
179,1052,1128
180,1052,1109
181,1052,1130
182,1052,1126
183,1052,1127
184,1052,1131
185,1053,1004
186,1055,1253
187,1056,1162
188,1057,1004
189,1058,1051
190,1059,1051
191,1060,1014
192,1060,1012
193,1060,1013
194,1060,1010
195,1060,1011
196,1060,1075
197,1061,1253
198,1065,1092
199,1065,1089
200,1065,1087
201,1065,1098
202,1065,1095
203,1065,1090
204,1065,1093
205,1065,1091
206,1065,1101
207,1066,1011
208,1066,2000
209,1066,1010
210,1066,1013
211,1066,1012
212,1066,1014
213,1066,1075
214,1068,1051
215,1069,1007
216,1070,1002
217,1071,1100
218,1072,1175
219,1073,1253
220,1074,1315
221,1074,1316
222,1074,1277
223,1074,1404
224,1074,1264
225,1074,1272
226,1074,1314
227,1074,1267
228,1074,1265
229,1074,1311
230,1074,1323
231,1074,1300
232,1074,1303
233,1074,1299
234,1074,1313
235,1074,1278
236,1074,1301
237,1074,1304
238,1074,1271
239,1074,1266
240,1075,1264
241,1075,1315
242,1075,1271
243,1075,1267
244,1075,1300
245,1075,1263
246,1075,1265
247,1075,1311
248,1075,1323
249,1075,1278
250,1075,1314
251,1075,1304
252,1075,1266
253,1075,1277
254,1075,1301
255,1075,1262
256,1075,1316
257,1075,1313
258,1076,1087
259,1076,1090
260,1076,1095
261,1076,1101
262,1076,1089
263,1076,1098
264,1077,1092
265,1077,1093
266,1078,1091
267,1080,1178
268,1081,1004
269,1082,1003
270,1083,1051
271,1084,1007
272,1085,1177
273,1087,1108
274,1087,1122
275,1087,1120
276,1087,1107
277,1088,1170
278,1091,1002
279,1094,1079
280,1096,1004
281,1097,1228
282,1099,1004
283,1101,1177
284,1103,1177
285,1107,1110
286,1107,1112
287,1112,1009
288,1116,1051
289,1121,1210
290,1122,1002
291,1122,1003
292,1125,1167
293,1127,1210
294,1128,1218
295,1134,1112
296,1134,1110
297,1136,1177
298,1138,1228
299,1143,1007
300,1144,1004
301,1145,1224
302,1145,1226
303,1145,1221
304,1145,1211
305,1145,1214
306,1145,1217
307,1145,1223
308,1145,1212
309,1145,1220
310,1145,1219
311,1145,1225
312,1145,1222
313,1145,1218
314,1145,1227
315,1145,1213
316,1146,1004
317,1147,1004
318,1148,1002
319,1153,1162
320,1159,1109
321,1159,1127
322,1159,1128
323,1159,1126
324,1159,1129
325,1159,1130
326,1159,1125
327,1159,1131
328,1160,1177
329,1161,1103
330,1165,1175
331,1167,1095
332,1167,1092
333,1167,1089
334,1167,1087
335,1167,1091
336,1167,1098
337,1167,1090
338,1167,1101
339,1167,1093
340,1169,1103
341,1171,1216
342,1171,1215
343,1177,1253
344,1181,1191
345,1181,1188
346,1181,1192
347,1185,1007
348,1193,1103
349,1195,1084
350,1196,1082
351,1198,1216
352,1198,1215
353,1207,1093
354,1207,1092
355,1207,1101
356,1207,1087
357,1207,1098
358,1207,1090
359,1207,1091
360,1207,1095
361,1207,1089
362,1208,1165
363,1211,1225
364,1211,1211
365,1211,1221
366,1211,1216
367,1211,1226
368,1211,1217
369,1211,1213
370,1211,1222
371,1211,1223
372,1211,1212
373,1211,1227
374,1211,1224
375,1211,1220
376,1211,1218
377,1211,1219
378,1211,1215
379,1213,1084
380,1214,1082
381,1214,1084
382,1216,1214
383,1217,1300
384,1217,1299
385,1217,1262
386,1217,1267
