"id","fdc_id","seq_num","food_attribute_type_id","name","value"
"3225143","321358","","","Ontology Name for Source","legume food product"
"3225142","321358","","","Ontology ID for Source","http://purl.obolibrary.org/obo/FOODON_00001264"
"3225141","321358","","","FoodOn Ontology Name for FDC Item","hummus"
"3225140","321358","","","FoodOn Ontology ID for FDC Item","http://purl.obolibrary.org/obo/FOODON_00003049"
"3225139","321358","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_35493"
"3225138","321358","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_3827"
"1833152","321358","","","Ontology Name for Source","legume food product"
"1833151","321358","","","Ontology ID for Source","http://purl.obolibrary.org/obo/FOODON_00001264"
"1833150","321358","","","FoodOn Ontology Name for FDC Item","hummus"
"1833149","321358","","","FoodOn Ontology ID for FDC Item","http://purl.obolibrary.org/obo/FOODON_00003049"
"1832726","321358","","","NCBI Taxon","http://purl.bioontology.org/ontology/NCBITAXON/3827"
"3225587","321360","","","Ontology Name for Source","vegetable food product"
"3225586","321360","","","Ontology ID for Source","http://purl.obolibrary.org/obo/FOODON_00001262"
"3225585","321360","","","FoodOn Ontology Name for FDC Item","grape tomato (whole, raw)"
"3225584","321360","","","FoodOn Ontology ID for FDC Item","http://purl.obolibrary.org/obo/FOODON_00003299"
"3225583","321360","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_35493"
"3225582","321360","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_4081"
"1833356","321360","","","Ontology Name for Source","vegetable food product"
"1833355","321360","","","Ontology ID for Source","http://purl.obolibrary.org/obo/FOODON_00001261"
"1833354","321360","","","FoodOn Ontology Name for FDC Item","grape tomato (whole, raw)"
"1833353","321360","","","FoodOn Ontology ID for FDC Item","http://purl.obolibrary.org/obo/FOODON_00003299"
"1832820","321360","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33090"
"1832819","321360","","","NCBI Taxon","http://purl.bioontology.org/ontology/NCBITAXON/4081"
"3224693","321611","","","Ontology Name for Source","legume food product"
"3224692","321611","","","Ontology ID for Source","http://purl.obolibrary.org/obo/FOODON_00001264"
"3224691","321611","","","FoodOn Ontology Name for FDC Item","green bean (canned)"
"3224690","321611","","","FoodOn Ontology ID for FDC Item","http://purl.obolibrary.org/obo/FOODON_03307712"
"3224689","321611","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_35493"
"3224688","321611","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_3885"
"1832932","321611","","","Ontology Name for Source","legume food product"
"1832931","321611","","","Ontology ID for Source","http://purl.obolibrary.org/obo/FOODON_00001264"
"1832930","321611","","","FoodOn Ontology Name for FDC Item","green bean (canned)"
"1832929","321611","","","FoodOn Ontology ID for FDC Item","http://purl.obolibrary.org/obo/FOODON_03307712"
"1832619","321611","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33090"
"1832618","321611","","","NCBI Taxon","http://purl.bioontology.org/ontology/NCBITAXON/3885"
"3225083","323121","","","Ontology Name for Source","sausage food product"
"3225082","323121","","","Ontology ID for Source","http://purl.obolibrary.org/obo/FOODON_00001007"
"3225081","323121","","","FoodOn Ontology Name for FDC Item","beef frankfurter"
"3225080","323121","","","FoodOn Ontology ID for FDC Item","http://purl.obolibrary.org/obo/FOODON_03310577"
"3225079","323121","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33208"
"3225078","323121","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_9913"
"1833132","323121","","","Ontology Name for Source","sausage food product"
"1833131","323121","","","Ontology ID for Source","http://purl.obolibrary.org/obo/FOODON_00001007"
"1833130","323121","","","FoodOn Ontology Name for FDC Item","hot dog"
"1833129","323121","","","FoodOn Ontology ID for FDC Item","http://purl.obolibrary.org/obo/FOODON_00001009"
"5578","323121","0","1000","","hot dog, frank, wiener"
"3225293","323294","","","Ontology Name for Source","nut food product"
"3225292","323294","","","Ontology ID for Source","http://purl.obolibrary.org/obo/FOODON_00001172"
"3225291","323294","","","FoodOn Ontology Name for FDC Item","almond (dry, roasted)"
